iteration,curr policy return,max return,median return,avg return,avg rollout len,min mag policy param,max mag policy param,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,252.04741258491916,448.0529089596467,244.36657361041756,236.0587761986668,969.9333333333333,-0.06032470479899765,-0.9128244503821423,0.32314250430245584,0.4337802918785548,0.49413242920761263,4.316851153139655
1,284.8644671388942,279.91726881182854,215.32829076100907,212.04873362938696,969.4888888888889,-0.12352551760113233,-0.9778725218046879,0.2889658684928001,0.4322280544025864,0.5288401254225156,3.3719248383625295
2,201.83213795404663,285.8329213442625,206.05717177184943,205.67432494441303,968.7666666666667,-0.12689162509848778,-0.8767682543390685,0.2722153580825479,0.42470196397775983,0.5324565458626624,2.5090542189757503
3,246.4043982531133,371.5232078323323,207.37221273003627,212.8619655764526,973.6111111111111,-0.08753152538076982,-0.8948358412269293,0.2643126019742043,0.40840217661796463,0.5736246305645176,1.2284691136794859
4,259.3438993575794,507.9844324080529,224.96467815273184,229.80060094979436,976.6888888888889,-0.15958077453969072,-0.7823330159426183,0.25861550802083616,0.40600540234660526,0.6059235922420623,0.6922197123139124
5,269.0664360646039,566.1152662758608,237.04725138166074,296.62861400167833,991.9888888888889,-0.013688484230225756,1.0101940318775218,0.264035477108404,0.37251271450057055,0.5480946173439641,-0.5215376157001685
6,539.0842516404047,561.1924901413544,246.04130448619145,297.36274515543147,988.8666666666667,0.05445381796943066,-0.7586813471702945,0.21887476469734812,0.324430006549114,0.45025643152604705,-1.6391465251057387
7,531.6171898117391,575.4576335632856,230.270245562943,278.8971398851849,1000.0,0.07164540603427857,0.8647461738733823,0.21654492251981805,0.31133058003357195,0.4254609393393403,-2.39856777907565
8,541.4841193002156,601.2075232915026,280.29264144682696,318.41612148852823,1000.0,0.071825368855861,0.8188850625142142,0.1970511391893304,0.28197492252934464,0.40460751935094763,-3.6740637819198465
9,590.4506787920144,565.5955952107047,341.36186934163095,338.62357695929614,1000.0,0.057508019726046966,0.7819501096047902,0.15830537590298877,0.24086351248383156,0.37435049614438387,-4.837344117854014
10,550.0006546582149,596.7925010856569,293.2503663859592,350.8475400915144,996.7333333333333,0.07955112682895064,0.8672200455815018,0.11575723394402122,0.22126499499949936,0.35463587388912376,-6.183763515476921
11,592.1671683847463,601.5196960290837,425.3397223708315,403.4745538996005,1000.0,0.06649046824269929,0.8261432697439681,0.09145063879531613,0.20202705327472315,0.3211122961410684,-6.8106841201207775
12,577.4250121085189,594.0092721868874,522.0683737740562,461.1145173643243,1000.0,-0.007056075207227758,-0.8592267698086529,0.09980077323837956,0.18995179981796906,0.3520309621747417,-7.568375706346798
13,599.1245476269613,618.5403474196158,575.4741322116986,497.35612971591496,994.6222222222223,-0.022967989195792765,-0.8519132628375804,0.09419340763739306,0.18343605791828732,0.340943044856888,-8.12318895488888
14,613.5624977435679,615.6129048447057,589.1242033304089,518.9974955771862,1000.0,0.01722225853358214,-0.7405132777980434,0.08354683536304605,0.15513348668414734,0.2412483963398268,-9.227974926147146
15,615.1729527875128,621.6328789896949,605.5587616655813,567.5292905564971,1000.0,0.03141648178513874,-0.800304538555643,0.07109616429267406,0.1326817177164527,0.236859354460003,-10.609405039878679
16,598.0152354367143,624.903695829707,580.1020309276225,554.8885172603697,1000.0,-0.08816339469475079,-0.7268152794079621,0.05526150467050257,0.12047051792745095,0.1929268088002384,-11.70501583392893
17,621.7937073098301,632.3297724998853,617.0405367379155,599.3766106871312,1000.0,-0.07106310248806902,-0.7751633219916725,0.05213094676996479,0.11124100304753654,0.1760090520502125,-12.446012463106173
18,629.2252711892307,632.9869032373849,622.4193937889651,587.7074107781634,997.1,-0.00019086808471574512,-0.7139494439420986,0.05,0.10292794318828868,0.17641942744893976,-12.310509108205368
19,628.0200310353156,632.5066113239546,619.9692688931457,574.0301380648722,1000.0,0.03302919234816439,-0.6702469482663646,0.05,0.093970154517277,0.1477150138561766,-13.107674384276182
20,623.3860602864437,635.0102697687394,626.5049929050266,585.5941162904803,994.6666666666666,0.013864385317119664,-0.6900631818546489,0.05,0.0889094576325335,0.1411427632688227,-14.121642482294428
21,635.0239391558506,637.7594270820736,629.3881746134373,584.362455831828,1000.0,0.020409889950585163,-0.6389300864680065,0.05,0.08474506615485018,0.14069641981299424,-14.581467911693528
22,511.7963658987037,636.1957284421627,630.2040333868192,556.8709811666743,995.6333333333333,0.017478035473113867,-0.6312298353875958,0.05,0.07723432282549222,0.14488012460821156,-14.72489154064983
23,634.4770241627087,641.5763286590291,632.4128614906009,583.9957120007554,997.1777777777778,-0.013660551836481488,-0.6429589836817821,0.05,0.07210463205110249,0.11596743594532867,-14.905703618752574
24,631.7692297852512,634.0371399166671,625.4592805655013,529.9679315106343,988.6888888888889,0.027053596911708548,-0.6114785519560113,0.05,0.0681021039804066,0.1277701862566872,-15.178338279891497
25,564.4822825831429,640.5492805394889,633.4167296097321,562.1529294467604,1000.0,0.027053596911707226,-0.6114785519560115,0.05,0.07118986089753009,0.135039242897035,-15.54428457654094
26,640.0158146476253,642.2248867142457,526.181836629403,524.5063982415397,991.5666666666667,0.015809172412332255,-0.6191702141657717,0.05,0.07014047370393313,0.13218420117135202,-16.305077321699322
